n_crash_reports,contains_fatality_words,contains_pedestrian_words,year,day_of_week,hour,day,weekday,month,is_weekend,day_part,distance_to_nairobi,contains_vehicle_words,severity_index,local_crash_density,season,fatality_mention_ratio
1,0,0,2018.0,Monday,11.0,6.0,0.0,8.0,0,morning,2.8393446140839895,0,0,7605,dry,0.05774016923842708
1,0,0,2018.0,Monday,15.0,6.0,0.0,8.0,0,afternoon,34.27378739340003,0,0,144,dry,0.056882327399044724
1,0,0,2018.0,Thursday,8.0,6.0,3.0,9.0,0,morning,7.7072949399712245,0,0,2804,transitional,0.05774016923842708
1,0,0,2018.0,Thursday,9.0,6.0,3.0,9.0,0,morning,4.334593764075002,0,0,6140,transitional,0.05774016923842708
1,0,0,2018.0,Thursday,10.0,6.0,3.0,9.0,0,morning,1.845251323143291,0,0,8327,transitional,0.05774016923842708
1,0,0,2018.0,Thursday,19.0,6.0,3.0,9.0,0,evening,1.6503625055908244,0,0,8180,transitional,0.05424886191198786
1,0,0,2018.0,Thursday,20.0,6.0,3.0,9.0,0,evening,30.526254782030705,0,0,426,transitional,0.05424886191198786
1,0,0,2018.0,Thursday,20.0,6.0,3.0,9.0,0,evening,9.376839343259837,0,0,2907,transitional,0.05424886191198786
1,1,0,2018.0,Saturday,2.0,6.0,5.0,10.0,1,night,21.479295234276265,0,1,881,transitional,0.06271862534519791
1,0,0,2018.0,Saturday,12.0,6.0,5.0,10.0,1,afternoon,3.9454305780565337,0,0,6813,transitional,0.056882327399044724
1,0,0,2018.0,Saturday,13.0,6.0,5.0,10.0,1,afternoon,35.65393835608671,0,0,371,transitional,0.056882327399044724
1,0,0,2018.0,Saturday,16.0,6.0,5.0,10.0,1,afternoon,8.026263843869028,0,0,2555,transitional,0.056882327399044724
1,0,0,2018.0,Saturday,18.0,6.0,5.0,10.0,1,evening,13.082958253198747,0,0,2399,transitional,0.05424886191198786
1,0,0,2018.0,Saturday,18.0,6.0,5.0,10.0,1,evening,11.240807741386535,0,0,2765,transitional,0.05424886191198786
1,0,0,2018.0,Saturday,23.0,6.0,5.0,10.0,1,night,34.70831533738212,0,0,366,transitional,0.06271862534519791
1,0,0,2018.0,Saturday,23.0,6.0,5.0,10.0,1,night,11.745425079255533,0,0,887,transitional,0.06271862534519791
1,0,0,2018.0,Tuesday,6.0,6.0,1.0,11.0,0,morning,0.811511387558477,0,0,8647,transitional,0.05774016923842708
1,0,0,2018.0,Tuesday,9.0,6.0,1.0,11.0,0,morning,2.0386821756028937,0,0,8118,transitional,0.05774016923842708
1,1,0,2018.0,Tuesday,9.0,6.0,1.0,11.0,0,morning,2.894487227237737,0,1,7553,transitional,0.05774016923842708
1,0,0,2018.0,Tuesday,17.0,6.0,1.0,11.0,0,evening,2.937189032366522,0,0,7289,transitional,0.05424886191198786
1,0,0,2018.0,Tuesday,18.0,6.0,1.0,11.0,0,evening,1.3947575104133585,0,0,8397,transitional,0.05424886191198786
1,0,0,2018.0,Tuesday,20.0,6.0,1.0,11.0,0,evening,12.606450347104097,0,0,2366,transitional,0.05424886191198786
1,0,0,2018.0,Thursday,7.0,6.0,3.0,12.0,0,morning,4.253406856912838,0,0,6418,rainy,0.05774016923842708
1,0,0,2018.0,Thursday,7.0,6.0,3.0,12.0,0,morning,4.337508822072578,0,0,7171,rainy,0.05774016923842708
1,0,0,2018.0,Thursday,7.0,6.0,3.0,12.0,0,morning,3.743220455122224,0,0,6808,rainy,0.05774016923842708
1,0,0,2018.0,Thursday,8.0,6.0,3.0,12.0,0,morning,0.8920416525076105,0,0,8531,rainy,0.05774016923842708
1,0,0,2018.0,Thursday,8.0,6.0,3.0,12.0,0,morning,15.317104682903175,0,0,1839,rainy,0.05774016923842708
1,0,0,2018.0,Thursday,14.0,6.0,3.0,12.0,0,afternoon,5.6777041401960275,0,0,5288,rainy,0.056882327399044724
1,1,0,2018.0,Thursday,16.0,6.0,3.0,12.0,0,afternoon,0.6992862883589969,0,1,8698,rainy,0.056882327399044724
1,0,0,2018.0,Thursday,17.0,6.0,3.0,12.0,0,evening,5.373612382275873,0,0,3372,rainy,0.05424886191198786
1,0,0,2018.0,Thursday,18.0,6.0,3.0,12.0,0,evening,12.221171438437295,0,0,623,rainy,0.05424886191198786
1,0,0,2018.0,Thursday,19.0,6.0,3.0,12.0,0,evening,0.13486185656543237,0,0,8710,rainy,0.05424886191198786
1,0,0,2018.0,Thursday,20.0,6.0,3.0,12.0,0,evening,17.835311754194645,0,0,1579,rainy,0.05424886191198786
1,0,0,,,,,,,0,night,1.8308622592591677,0,0,8081,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.892156089384314,0,0,3874,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,15.582384860801064,0,0,1902,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.8018670155355128,0,0,8290,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,16.731516430395516,0,0,1616,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.475427276177262,0,0,2004,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,8.74637603568229,0,0,2441,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,3.4750435608291936,0,0,7398,transitional,0.06271862534519791
1,1,0,,,,,,,0,night,39.68436553386316,0,1,376,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,118.89866913570633,0,0,3,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,4.932503456796811,0,0,5025,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,25.94057684002174,0,0,668,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,16.96441553538721,0,0,852,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,22.247216277074955,0,0,846,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,2.855349437142892,0,0,7713,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,7.256476445044166,0,0,3928,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,2.2361495077072484,0,0,7455,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,4.066552464952356,0,0,7065,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,5.446567452208516,0,0,3300,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.086274141461702,0,0,4842,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,5.561397726051678,0,0,5119,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,0.8065911379865324,0,0,8614,transitional,0.06271862534519791
1,1,0,,,,,,,0,night,3.1961861325314045,0,1,8558,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.208132827114957,0,0,1968,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.1536850609287956,0,0,8655,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,54.03109227243281,0,0,23,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,11.238604444610148,0,0,2767,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,10.178457474822752,0,0,3137,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,113.62422015738001,0,0,21,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,0.209560885546052,0,0,8625,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.6670551032509,0,0,4028,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.533298230199189,0,0,8369,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,11.240807902999704,0,0,2765,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.593150502047536,0,0,1901,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,12.7191538678253,0,0,2043,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.830826627131117,0,0,384,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,24.823083055939346,0,0,295,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,8.208278525114032,0,0,3257,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,28.416570204336452,0,0,461,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,19.772835578975968,0,0,111,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,3.1320931135602694,0,0,7657,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,4.672135733168352,0,0,5437,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,12.578739684900006,0,0,586,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.388470009094406,0,0,8405,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.9427995547606205,0,0,4265,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,2.390377357701892,0,0,8815,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.175414486927886,0,0,516,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,13.326400780609955,0,0,390,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,3.545284304718265,0,0,6812,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,45.29169859489987,0,0,142,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,2.5074354396614167,0,0,7812,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.062737635857296,0,0,4639,transitional,0.06271862534519791
1,1,0,,,,,,,0,night,12.195244759409693,0,1,1496,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,4.337509008687961,0,0,7171,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,30.837055736486413,0,0,479,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,2.3462127375553665,0,0,8017,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.475427276177262,0,0,2004,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,13.082958405546458,0,0,2399,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,19.206157831326458,0,0,1425,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,17.835027793208617,0,0,1579,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,8.975218000674309,0,0,2931,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.401330218122286,0,0,3007,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.001337208543537,0,0,8299,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.319598659049335,0,0,977,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,7.80456145034627,0,0,3121,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,14.475427125234807,0,0,2004,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,7.204087212713973,0,0,3603,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,6.086274141461702,0,0,4842,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,0.8825852614071369,0,0,8390,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,21.4780264654541,0,0,881,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,12.789918259033973,0,0,1523,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,73.57331163306587,0,0,0,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,4.337508822072578,0,0,7171,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,9.079578549414657,0,0,2927,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,1.7082161327958254,0,0,8134,transitional,0.06271862534519791
1,0,0,,,,,,,0,night,0.9913957008505353,0,0,8282,transitional,0.06271862534519791
